Id,CO2 Emissions(g/km)
54938,853.9792
54939,470.22467
54940,491.81638
54941,235.89116
54942,474.47885
54943,537.5643
54944,1075.1886
54945,468.33548
54946,748.4986
54947,506.25397
54948,549.32947
54949,773.09143
54950,496.5864
54951,581.84784
54952,595.5891
54953,1053.139
54954,1058.5255
54955,587.05664
54956,613.9575
54957,675.07904
54958,524.3237
54959,225.22429
54960,574.62415
54961,613.5328
54962,189.27786
54963,602.691
54964,443.4363
54965,674.42053
54966,523.33636
54967,503.5756
54968,555.4838
54969,778.28076
54970,672.01917
54971,572.3588
54972,896.6719
54973,644.7728
54974,599.4499
54975,709.86206
54976,777.2505
54977,606.9569
54978,532.37384
54979,798.97
54980,687.6519
54981,974.06366
54982,239.2877
54983,575.5719
54984,468.24655
54985,495.46536
54986,522.2679
54987,533.4483
54988,512.7464
54989,604.7516
54990,900.99603
54991,518.79535
54992,557.1576
54993,1046.5134
54994,663.50323
54995,201.8575
54996,523.69836
54997,634.05
54998,960.48694
54999,447.24588
55000,783.5118
55001,464.5338
55002,568.7308
55003,946.0257
55004,836.40045
55005,535.0895
55006,769.85376
55007,607.7161
55008,454.18756
55009,205.25404
55010,634.40643
55011,703.79315
55012,565.1657
55013,788.3677
55014,265.16476
55015,608.5532
55016,913.0179
55017,624.5912
55018,519.81683
55019,520.9386
55020,661.862
55021,556.04486
55022,598.94336
55023,537.8052
55024,693.3202
55025,829.6059
55026,540.311
55027,447.43033
55028,591.0313
55029,358.97623
55030,628.04504
55031,969.7028
55032,530.92224
55033,501.56903
55034,612.8844
55035,764.18964
55036,592.8471
55037,745.6738
55038,817.6238
55039,723.43085
55040,562.132
55041,221.23024
55042,822.13226
55043,713.59955
55044,687.5565
55045,510.0411
55046,565.3247
55047,473.99585
55048,637.0328
55049,743.45374
55050,506.55383
55051,241.79799
55052,739.15826
55053,662.34094
55054,901.454
55055,634.50183
55056,702.9663
55057,549.18384
55058,672.6144
55059,796.6693
55060,472.444
55061,533.2881
55062,556.5241
55063,823.5178
55064,789.8013
55065,591.54675
55066,572.3544
55067,440.5863
55068,568.5577
55069,871.01074
55070,541.8883
55071,780.1561
55072,694.923
55073,463.22208
55074,709.93427
55075,471.04965
55076,836.5952
55077,429.39023
55078,502.98605
