,Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km),MakeAvg,Engine/Cylinders
6,1,FULL-SIZE,1.8,4.0,AV7,X,13.297872340425533,41.69420857273606,7.8431372549019605,174.0,0.3734598273946921,0.45
12,10,MINIVAN,2.0,4.0,AS6,X,45.45454545454545,18.867924528301888,27.94,260.0,0.13075557709860083,0.5
17,17,SUV - STANDARD,2.3,4.0,AS6,X,19.9203187250996,14.245014245014247,16.89189189189189,263.0,1.0,0.575
19,16,SUV - STANDARD,5.3,8.0,A6,X,6.609385327164573,2.376990729736154,20.29902945548171,335.0,0.31251434751127427,0.6625
22,1,STATION WAGON - SMALL,3.5,6.0,M6,X,8.61,11.58,9.737098344693282,158.0,0.3734598273946921,0.5833333333333334
29,13,SUV - SMALL,3.5,6.0,AS8,X,5.624296962879639,10.72,7.142857142857143,259.0,0.4616911152907516,0.5833333333333334
38,3,SUV - SMALL,1.3,4.0,A9,X,14.124054394558286,8.857395925597874,22.06177296430004,206.0,0.567858610062776,0.325
44,11,SUV - SMALL,6.2,8.0,AS8,Z,29.8300028813071,3.127932436659368,3.4376074252320383,222.0,0.03366713263218451,0.775
45,16,TWO-SEATER,6.2,8.0,AS8,Z,5.524861878453039,47.48507087450495,5.71,280.0,0.31251434751127427,0.775
53,19,MID-SIZE,6.2,8.0,A8,Z,30.39496505708943,54.010384004790886,4.739336492890995,414.0,0.11778104235512704,0.775
80,19,MID-SIZE,2.0,4.0,M6,X,3.65,4.87,4.113533525298231,195.0,0.11778104235512704,0.5
81,16,COMPACT,2.0,4.0,M6,Z,25.71,16.666666666666668,20.67,219.0,0.31251434751127427,0.5
85,16,COMPACT,1.8,4.0,M5,X,50.761851494042475,2.3629489603024574,19.969728861765898,184.0,0.31251434751127427,0.45
86,12,SUV - SMALL,2.5,4.0,AV,X,39.632096631130544,31.25,8.0,193.0,0.22159697078984808,0.625
87,10,PICKUP TRUCK - SMALL,2.0,4.0,AS6,X,5.617977528089887,53.652475304697305,6.94,285.0,0.13075557709860083,0.5
90,16,TWO-SEATER,6.2,8.0,AS8,Z,5.434782608695652,5.773672055427252,5.577244841048522,291.0,0.31251434751127427,0.775
95,15,TWO-SEATER,2.0,4.0,AS8,Z,22.69821949541118,5.99,4.780114722753345,209.0,0.2328061192239942,0.5
102,17,PICKUP TRUCK - STANDARD,2.7,6.0,AS10,X,3.68,8.849557522123895,4.987531172069826,246.0,1.0,0.45
103,11,MID-SIZE,5.3,8.0,AS6,X,25.649282780517847,11.123470522803114,4.73,250.0,0.03366713263218451,0.6625
120,11,SUV - STANDARD,2.0,4.0,AS8,Z,16.7,44.84304932735426,23.25581395348837,243.0,0.03366713263218451,0.5
125,17,MID-SIZE,2.0,4.0,AV,X,4.7664442326024785,21.978021978021978,7.352941176470588,174.0,1.0,0.5
128,16,SUV - SMALL,2.4,4.0,A9,X,4.5167118337850045,8.403361344537815,5.7,281.0,0.31251434751127427,0.6
134,3,STATION WAGON - SMALL,1.4,4.0,A6,X,9.596928982725528,6.55,7.93,362.2410443750277,0.567858610062776,0.35
144,17,PICKUP TRUCK - STANDARD,3.5,6.0,AS6,E,3.5739814152966405,7.85,4.73,318.0,1.0,0.5833333333333334
